Date,Value, Palmer Drought Severity Index (PDSI) – Anomaly
199201,3.34,3.23
199202,3.34,3.20
199203,3.14,2.94
199204,3.16,2.88
199205,4.06,3.78
199206,5.56,5.24
199207,6.06,5.63
199208,6.34,5.97
199209,4.99,4.77
199210,3.66,3.41
199211,3.77,3.46
199212,3.56,3.26
199301,3.73,3.62
199302,3.56,3.42
199303,3.54,3.34
199304,3.44,3.16
199305,2.89,2.61
199306,2.77,2.45
199307,2.96,2.53
199308,2.72,2.35
199309,-0.42,-0.64
199310,-0.63,-0.88
199311,-0.67,-0.98
199312,-0.83,-1.13
199401,-0.82,-0.93
199402,-1.08,-1.22
199403,-1.24,-1.44
199404,-1.07,-1.35
199405,-0.80,-1.08
199406,-2.00,-2.32
199407,-1.79,-2.22
199408,-2.09,-2.46
199409,-2.28,-2.50
199410,-2.34,-2.59
199411,-2.08,-2.39
199412,-2.20,-2.50
199501,-2.12,-2.23
199502,-2.49,-2.63
199503,-2.61,-2.81
199504,-2.65,-2.93
199505,-1.68,-1.96
199506,-1.38,-1.70
199507,-1.51,-1.94
199508,-1.85,-2.22
199509,-0.62,-0.84
199510,-0.98,-1.23
199511,-1.48,-1.79
199512,-1.42,-1.72
199601,-1.63,-1.74
199602,-2.08,-2.22
199603,-2.39,-2.59
199604,-2.93,-3.21
199605,-3.83,-4.11
199606,-3.63,-3.95
199607,0.93,0.50
199608,2.02,1.65
199609,2.17,1.95
199610,-0.47,-0.72
199611,-0.24,-0.55
199612,-0.58,-0.88
199701,-0.65,-0.76
199702,-0.15,-0.29
199703,-0.70,-0.90
199704,2.48,2.20
199705,2.62,2.34
199706,3.15,2.83
199707,3.29,2.86
199708,3.54,3.17
199709,3.02,2.80
199710,2.44,2.19
199711,2.15,1.84
199712,2.86,2.56
199801,2.27,2.16
199802,2.41,2.27
199803,3.07,2.87
199804,-0.02,-0.30
199805,-1.02,-1.30
199806,-2.28,-2.60
199807,-2.58,-3.01
199808,-2.37,-2.74
199809,-3.37,-3.59
199810,1.21,0.96
199811,1.48,1.17
199812,1.22,0.92
199901,1.60,1.49
199902,0.84,0.70
199903,1.30,1.10
199904,2.33,2.05
199905,3.02,2.74
199906,3.75,3.43
199907,3.45,3.02
199908,-0.52,-0.89
199909,-0.50,-0.72
199910,-0.99,-1.24
199911,-1.68,-1.99
199912,-1.54,-1.84
200001,-1.77,-1.88
200002,-2.40,-2.54
200003,-1.27,-1.47
200004,-1.12,-1.40
200005,-2.23,-2.51
200006,-0.80,-1.12
200007,-1.52,-1.95
200008,-2.88,-3.25
200009,-3.87,-4.09
200010,1.12,0.87
200011,1.58,1.27
200012,1.68,1.38
200101,2.15,2.04
200102,2.26,2.12
200103,3.08,2.88
200104,2.58,2.30
200105,2.97,2.69
200106,-0.31,-0.63
200107,-1.41,-1.84
200108,-1.46,-1.83
200109,-1.74,-1.96
200110,-2.37,-2.62
200111,-1.50,-1.81
200112,-1.65,-1.95
200201,-1.36,-1.47
200202,-1.30,-1.44
200203,-0.75,-0.95
200204,-0.79,-1.07
200205,-1.76,-2.04
200206,-2.40,-2.72
200207,-2.42,-2.85
200208,-2.25,-2.62
200209,-2.46,-2.68
200210,1.33,1.08
200211,1.23,0.92
200212,1.66,1.36
200301,-0.31,-0.42
200302,-0.39,-0.53
200303,-0.46,-0.66
200304,-0.87,-1.15
200305,-1.53,-1.81
200306,1.24,0.92
200307,-1.10,-1.53
200308,-1.70,-2.07
200309,-1.81,-2.03
200310,-2.17,-2.42
200311,-2.23,-2.54
200312,-2.51,-2.81
200401,0.11,0.00
200402,0.70,0.56
200403,1.11,0.91
200404,2.13,1.85
200405,0.75,0.47
