OBJECTID,FOD_ID,FIRE_NAME,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,COUNTY,FIPS_NAME
173028,174741,VELMA,,,1996,1970-01-01 00:00:00.002450156,74,1300.0,11.0,Powerline,1970-01-01 00:00:00.002450157,75.0,1900.0,1100.0,F,34.4143,-97.667,OK,,
173029,174742,LATTA,,,1996,1970-01-01 00:00:00.002450158,76,1100.0,11.0,Powerline,1970-01-01 00:00:00.002450158,76.0,1400.0,115.0,D,34.7501,-96.7503,OK,,
174284,176285,POWER LN.,,,1992,1970-01-01 00:00:00.002448916,295,1430.0,11.0,Powerline,1970-01-01 00:00:00.002448916,295.0,1600.0,0.5,B,35.4668,-83.3165,NC,,
174455,176456,DIXON,,,1999,1970-01-01 00:00:00.002451254,76,1600.0,11.0,Powerline,1970-01-01 00:00:00.002451254,76.0,1830.0,5.0,B,35.4845,-83.341,NC,,
174996,177020,,,,1994,1970-01-01 00:00:00.002449427,75,1120.0,11.0,Powerline,1970-01-01 00:00:00.002449427,75.0,1131.0,0.1,A,26.317,-80.9998,FL,,
175145,177169,TRANSFORME,,,1995,1970-01-01 00:00:00.002449854,137,1230.0,11.0,Powerline,1970-01-01 00:00:00.002449854,137.0,1320.0,0.2,A,35.4748,-83.3165,NC,,
175162,177186,SKOAL,,,1996,1970-01-01 00:00:00.002450198,116,1400.0,11.0,Powerline,1970-01-01 00:00:00.002450198,116.0,1700.0,2.5,B,35.5418,-83.2693,NC,,
177282,179417,TOOWINDY,,,1998,1970-01-01 00:00:00.002450927,114,1300.0,11.0,Powerline,1970-01-01 00:00:00.002450927,114.0,1830.0,200.0,D,45.8592,-100.4632,SD,,
177378,179513,NO. MAC,,,1999,1970-01-01 00:00:00.002451341,163,1445.0,11.0,Powerline,1970-01-01 00:00:00.002451341,163.0,1545.0,1.0,B,45.8694,-100.811,SD,,
177413,179548,HELLSGALE,,,1999,1970-01-01 00:00:00.002451482,304,1030.0,11.0,Powerline,1970-01-01 00:00:00.002451484,306.0,1800.0,5703.0,G,45.5033,-101.4207,SD,,
